start	end	text
0	29980	Se tiver calado
30000	31000	Num canto
31000	34020	Não quer dizer que não te gosto
34020	36020	É só um momento que eu procuro
36020	37520	Combater esses demônios
37520	39000	Que estão na minha mente
39000	44040	Se estiver olhando o horizonte
44040	46740	Não quer dizer que vou partir
46740	48800	Estou buscando a solução
48800	49500	Que for melhor
49500	51280	Pra esse meu jeito inocente
51280	55160	Mas se estiver chorando
55160	57300	É que meu coração
57300	59060	Não aceita o porquê
59060	60960	De não estar contigo
60960	66680	Se não te procuro
66680	69920	Estou tentando mudar de vida
69920	72500	Não quero ser só mais um amigo
72500	80120	Não consigo te esquecer
80120	84500	Você é meu bem querer
84500	89020	Entenda amor
89020	91560	Tudo que eu fiz foi por você
91560	93960	É tudo tão complicado
93960	97320	Você precisa entender
97320	103520	Preciso ter esse espaço entre nós dois
103520	105880	Mas não vai ser pra sempre
105880	108300	Estou preparando a vida
108300	109680	Pra nós dois
109680	110640	Entenda
110640	117520	Entenda amor
117520	123740	As vezes temos que a distância
123740	128240	Mas ela é necessária
128240	129240	É nesse momento
129240	130140	É nesse momento
130140	134980	E apesar de tanto tempo
134980	137200	Nunca deixei de te amar
137200	139260	É tão difícil amor
139260	140260	Eu estou sofrendo
140260	141160	Eu estou sofrendo
141160	148840	Por isso quero que entenda amor
148840	151120	Tudo que eu fiz foi por você
151120	153020	Tudo tão complicado
153020	153640	Tudo tão complicado
153640	156300	Você precisa entender
156300	157700	Precisa entender
157700	162600	Preciso ter esse espaço entre nós dois
162600	164520	Mas não vai ser pra sempre
164520	168600	Estou preparando a vida pra nós dois
168600	169460	Entenda
169460	176340	Entenda amor
176340	180340	Entenda
